vendor,ki_family,cw_charge_name,cw_sku,in_scope,observed_qty_2026_05,scope_reason,source_tab,basis_month,seed_generated_on
KeepIT,KI-GOOG-FUL,M2M-ConnectWise SaaS Backup Google User,CW-RMM-SB-GW,TRUE,1164,base Google Workspace seat (m2m),KeepIT Recon May'26.xlsx :: Zuora Usage[Vendor SKU],2026-05,2026-07-15
KeepIT,KI-D365-FUL,CW RMM SaaS Backup for Dynamics (CRM) Users,CW-RMM-SB-DYNMCS,TRUE,385,base Dynamics seat,KeepIT Recon May'26.xlsx :: Zuora Usage[Vendor SKU],2026-05,2026-07-15
KeepIT,KI-D365-FUL,ConnectWise SaaS Backup Microsoft Dynamics Users,CW-RMM-SB-DYNMCS,TRUE,317,base Dynamics seat,KeepIT Recon May'26.xlsx :: Zuora Usage[Vendor SKU],2026-05,2026-07-15
KeepIT,KI-D365-FUL,M2M-ConnectWise SaaS Backup Microsoft Dynamics Users,CW-RMM-SB-DYNMCS,TRUE,38,base Dynamics seat (m2m),KeepIT Recon May'26.xlsx :: Zuora Usage[Vendor SKU],2026-05,2026-07-15
KeepIT,KI-SFDC-FUL,CW RMM SaaS Backup Salesforce Users,CW-RMM-SB-SF,TRUE,384,base Salesforce seat,KeepIT Recon May'26.xlsx :: Zuora Usage[Vendor SKU],2026-05,2026-07-15
KeepIT,KI-SFDC-FUL,M2M RMM SaaS Backup Salesforce Users,CW-RMM-SB-SF,TRUE,291,base Salesforce seat (m2m),KeepIT Recon May'26.xlsx :: Zuora Usage[Vendor SKU],2026-05,2026-07-15
KeepIT,KI-SFDC-FUL,ConnectWise SaaS Backup Salesforce Users,CW-RMM-SB-SF,TRUE,283,base Salesforce seat,KeepIT Recon May'26.xlsx :: Zuora Usage[Vendor SKU],2026-05,2026-07-15
KeepIT,KI-SFDC-FUL,M2M-ConnectWise SaaS Backup Salesforce Users,CW-RMM-SB-SF,TRUE,129,base Salesforce seat (m2m),KeepIT Recon May'26.xlsx :: Zuora Usage[Vendor SKU],2026-05,2026-07-15
KeepIT,(exclude),CW Recover SaaS 3-year Promo - Recover SaaS MS 365 Users,,FALSE,278760,"Recover SaaS promo line -> handled in KeepIT Promo Recon, not main",KeepIT Recon May'26.xlsx :: Zuora Usage[Vendor SKU],2026-05,2026-07-15
KeepIT,(exclude),CW SaaS Backup 3-year Promo - Unlimited Retention Add-on,,FALSE,73016,"retention add-on, not a seat SKU",KeepIT Recon May'26.xlsx :: Zuora Usage[Vendor SKU],2026-05,2026-07-15
KeepIT,(exclude),CW RMM SaaS Backup Unlimited Retention Add-on,,FALSE,23864,"retention add-on, not a seat SKU",KeepIT Recon May'26.xlsx :: Zuora Usage[Vendor SKU],2026-05,2026-07-15
KeepIT,(exclude),CW SaaS Backup 3-year Promo - Azure AD Advanced,,FALSE,20514,3-year promo line -> Promo Recon,KeepIT Recon May'26.xlsx :: Zuora Usage[Vendor SKU],2026-05,2026-07-15
KeepIT,(exclude),M2M RMM SaaS Backup Unlimited Retention Add-on,,FALSE,18151,"retention add-on, not a seat SKU",KeepIT Recon May'26.xlsx :: Zuora Usage[Vendor SKU],2026-05,2026-07-15
KeepIT,(exclude),CW Recover SaaS 3-year Promo - Recover SaaS Google Workspace,,FALSE,13561,Recover SaaS promo line -> Promo Recon,KeepIT Recon May'26.xlsx :: Zuora Usage[Vendor SKU],2026-05,2026-07-15
KeepIT,(exclude),CW Recover SaaS 3-year Promo - Recover SaaS Salesforce Users,,FALSE,377,Recover SaaS promo line -> Promo Recon,KeepIT Recon May'26.xlsx :: Zuora Usage[Vendor SKU],2026-05,2026-07-15
KeepIT,(exclude),CW Recover SaaS 3-year Promo - Recover SaaS MS  Dynamics Users,,FALSE,186,Recover SaaS promo line -> Promo Recon,KeepIT Recon May'26.xlsx :: Zuora Usage[Vendor SKU],2026-05,2026-07-15
