entity,source_side,vendor_product_string,product_family,cw_charge_name,unit_price_basis,notes
CW,CW (Zuora billing),(join to vendor by partner+family),Billable,Auvik 250 Network Monitoring and Management,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Performance,"Auvik AMN - Performance AddOn - Committed, 100-174 Tier",per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Performance,"Auvik AMN - PerformanceAddOn - Committed, 1-39 Tier",per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Billable,Auvik 10 AddOn Device NTWK Monitoring and Mgnt,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Performance,"Auvik AMN - Performance AddOn - Committed, 40-74 Tier",per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),ASM,Auvik ASM - Standard - Committed -- Proration,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CW,CW (Zuora billing),(join to vendor by partner+family),Performance,Auvik ANM - Full Performance - Committed -- Proration,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),ANM Essentials - Evergreen,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),Overage - ANM Performance Add-On Evergreen,Performance,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),Overage - ANM Essentials Evergreen,Billable,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),Continuum Monthly Plan,Billable,(join to CW by partner+family),per-device,
CMS,VENDOR (Auvik invoice),Licenses,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),ANM Full Performance - Evergreen,Performance,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),Overage - ANM Full Performance Evergreen,Performance,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),EPRM-ANM-40 Auvik Essentials -- Committed,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),PARM-ANM-40 Auvik Performance Add On -- Overage,Performance,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),EPRM-ANM-40 Auvik Essentials -- Overage,Billable,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),Overage - Auvik SaaS Management Evergreen,ASM,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),Auvik SaaS Management - Evergreen,ASM,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),ANM Essentials,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),ANM Performance Add-Ons,Performance,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),Overage - ANM Essentials,Billable,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),ANM Performance Add-Ons - Evergreen,Performance,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),RM - ASM - 500 - Committed,ASM,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),PARM-ANM-1000 Auvik Performance Add On,Performance,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),EPRM-ANM-1000 Auvik Essentials -- Committed,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),EPRM-ANM-1000 Auvik Essentials -- Overage,Billable,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),PARM-ANM-1000 Auvik Performance Add On -- Overage,Performance,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),PARM-ANM-100 Auvik Performance Add On -- Overage,Performance,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),EPRM-ANM-100 Auvik Essentials -- Committed,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),EPRM-ANM-100 Auvik Essentials -- Overage,Billable,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),PARM-ANM-100 Auvik Performance Add On,Performance,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),EPRM-ANM-250 Auvik Essentials -- Committed,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),PARM-ANM-500 Auvik Performance Add On -- Overage,Performance,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),EPRM-ANM-500 Auvik Essentials -- Committed,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),EPRM-ANM-500 Auvik Essentials -- Overage,Billable,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),EPRM-ANM-75 Auvik Essentials -- Overage,Billable,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),EPRM-ANM-75 Auvik Essentials -- Committed,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),PARM-ANM-75 Auvik Performance Add On -- Overage,Performance,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),COANM-2 Additional Billable Devices,Billable,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),COANM-2 Committed Billable Devices,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),Overage - ANM Performance Add-on,Performance,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),COANM-1 Committed Billable Devices,Billable,(join to CW by partner+family),per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),Usage - Licenses,Billable,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,VENDOR (Auvik invoice),COANM-4 Additional Performance Add-Ons,Performance,(join to CW by partner+family),per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 10 (Recurring)Fixed Price,fixed-price package (Qty=committed device count N; UnitPrice=full package $; Amt=package $),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 100 (Usage)AdditionalCharge -- Overage,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 100 (Recurring)Fixed Price,fixed-price package (Qty=committed device count N; UnitPrice=full package $; Amt=package $),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 750 (Recurring)Fixed Price,fixed-price package (Qty=committed device count N; UnitPrice=full package $; Amt=package $),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 40 (Recurring)Fixed Price,fixed-price package (Qty=committed device count N; UnitPrice=full package $; Amt=package $),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise Command Networks Package MSP 10 (Recurring)Fixed Price,fixed-price package (Qty=committed device count N; UnitPrice=full package $; Amt=package $),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 75 (Recurring)Fixed Price,fixed-price package (Qty=committed device count N; UnitPrice=full package $; Amt=package $),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 500 (Recurring)Fixed Price,fixed-price package (Qty=committed device count N; UnitPrice=full package $; Amt=package $),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 175 (Recurring)Fixed Price,fixed-price package (Qty=committed device count N; UnitPrice=full package $; Amt=package $),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 250 (Usage)AdditionalCharge -- Overage,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 250 (Recurring)Fixed Price,fixed-price package (Qty=committed device count N; UnitPrice=full package $; Amt=package $),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise Command Networks Package MSP 175 (Usage)AdditionalCharge -- Overage,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Performance,ConnectWise RMM Networks Package MSP 100 (Usage)Performance,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 10 (Usage)AdditionalCharge -- Overage,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 40 (Usage)AdditionalCharge -- Overage,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Performance,ConnectWise RMM Networks Package MSP 40 (Usage)Performance,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise Command Networks Package MSP 10 (Usage)AdditionalCharge -- Overage,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 175 (Usage)AdditionalCharge -- Overage,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Performance,ConnectWise RMM Networks Package MSP 175 (Usage)Performance,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 75 (Usage)AdditionalCharge -- Overage,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise Command Networks Package MSP 250 (Recurring)Fixed Price,fixed-price package (Qty=committed device count N; UnitPrice=full package $; Amt=package $),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise Command Networks Package MSP 250 (Usage)AdditionalCharge -- Overage,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Performance,ConnectWise Command Networks Package MSP 250 (Usage)Performance,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 1500 (Recurring)Fixed Price,fixed-price package (Qty=committed device count N; UnitPrice=full package $; Amt=package $),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 500 (Usage)AdditionalCharge -- Overage,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise Command Networks Package MSP 40 (Usage)AdditionalCharge -- Overage,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Performance,Command for Network Package MSP 10 (Usage)Performance,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Performance,ConnectWise RMM Networks Package MSP 500 (Usage)Performance,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,Command for Network Package MSP 40 (Usage)AdditionalCharge -- Overage,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 150 (Recurring)Fixed Price,fixed-price package (Qty=committed device count N; UnitPrice=full package $; Amt=package $),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise Command Networks Package MSP 1000 (Recurring)Fixed Price,fixed-price package (Qty=committed device count N; UnitPrice=full package $; Amt=package $),
CMS,CW (Zuora billing),(join to vendor by partner+family),Performance,ConnectWise RMM Networks Package MSP 250 (Usage)Performance,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 1000 (Recurring)Fixed Price,fixed-price package (Qty=committed device count N; UnitPrice=full package $; Amt=package $),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 1000 (Usage)AdditionalCharge -- Overage,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Performance,ConnectWise Command Networks Package MSP 10 (Usage)Performance,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,Command for Network Package MSP 100 (Usage)AdditionalCharge -- Overage,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,Command for Network Package MSP 10 (Recurring)Fixed Price,fixed-price package (Qty=committed device count N; UnitPrice=full package $; Amt=package $),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,CMS EVG ConnectWise RMM Network - Unmapped Sites,per-device,
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,CMS EVG ConnectWise RMM Networks,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,CMS EVG ConnectWise RMM Networks Elite,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise Command Networks Package MSP 500 (Recurring)Fixed Price,fixed-price package (Qty=committed device count N; UnitPrice=full package $; Amt=package $),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise Command? Networks Package MSP 1500 (Usage)AdditionalCharge,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Billable,ConnectWise RMM Networks Package MSP 750 (Usage)AdditionalCharge -- Overage,per-device overage (Qty=overage devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Performance,CMS EVG ConnectWise RMM Network - Performance Unmapped,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
CMS,CW (Zuora billing),(join to vendor by partner+family),Performance,CMS ConnectWise RMM Networks Performance,per-device committed (Qty=committed devices; UnitPrice=per-device rate),
