CONTRACT_ID,PARTNER,SEGMENT,RENEWAL_MONTH,LOSS,CHURN_PCT,TIER,RISK_DRIVER_1,RISK_DRIVER_2,RISK_DRIVER_3
800Pj00000h1zSTIAY,"Wipfli Advisory, LLC",Strategic,2026-07-01,90155.0,45.1,MEDIUM,F_LOG_ATR,F_NUM_RENEWABLE_PRODUCTS,F_RENEWAL_TYPE
800Pj00000ivqIJIAY,VC3,Strategic,2026-08-01,85773.0,45.1,MEDIUM,F_PRIOR_LOSS_COUNT,F_LOG_ATR,F_CONTRACT_MARGIN
800Pj00000kwfeeIAA,Computers NOW Pty Ltd,Core,2026-09-01,83004.0,41.4,HIGH,F_CONTRACT_MARGIN,F_BILLING_FREQUENCY,F_LOG_ATR
800Pj00000ivVVfIAM,One Diversified LLC,Strategic,2026-08-01,80900.0,29.8,MEDIUM,F_LOG_ATR,F_CONTRACT_MARGIN,F_CASES_PER_10K_ATR_L3M
800Pj00000kwaaBIAQ,Meriplex Communications,Strategic,2026-09-01,77495.0,16.6,LOW,F_LOG_ATR,F_OPP_WON_AMT_L12M,F_RISK_COLOR
800Pj00000iOzFWIA0,"Heartland Business Systems, LLC",Strategic,2026-08-01,77330.0,62.0,HIGH,F_LOG_ATR,F_RISK_COLOR,F_PRIOR_LOSS_RATE
800Pj00000mrTwOIAU,"Sedona, Inc.",Strategic,2026-09-01,77309.0,68.8,HIGH,F_NUM_RENEWABLE_PRODUCTS,F_LOG_ATR,F_CONTRACT_MARGIN
800Pj00000i7Z6CIAU,Spectrum Technologies,Strategic,2026-09-01,71331.0,47.4,MEDIUM,F_LOG_ATR,F_NUM_RENEWABLE_PRODUCTS,F_RENEWAL_TYPE
800Pj00000JbNihIAF,"Blue Valley Technologies, Inc. operating as Networks Plus",Strategic,2026-07-01,70702.0,51.4,HIGH,F_CONTRACT_MARGIN,F_LOG_ATR,F_RENEWAL_TYPE
800Pj00000mrTwOIAU,"Sedona, Inc.",Strategic,2026-09-01,69098.0,68.8,HIGH,F_NUM_RENEWABLE_PRODUCTS,F_LOG_ATR,F_CONTRACT_MARGIN
800Pj00000iPq8aIAC,Marco Technologies LLC,Strategic,2026-08-01,68294.0,47.4,HIGH,F_PRIOR_LOSS_COUNT,F_CONTRACT_MARGIN,F_TOTAL_INVOICED_L180
800Pj00000mdhHeIAI,Alt Gr SA,Core,2026-09-01,67024.0,70.0,HIGH,F_LOG_ATR,F_CONTRACT_MARGIN,F_BILLING_FREQUENCY
8004v000002T8xzAAC,Kelser Corporation,Strategic,2026-07-01,65760.0,45.1,MEDIUM,F_CONTRACT_MARGIN,F_LOG_ATR,F_RENEWAL_TYPE
800Pj00000h1zSTIAY,"Wipfli Advisory, LLC",Strategic,2026-07-01,64980.0,45.1,MEDIUM,F_LOG_ATR,F_NUM_RENEWABLE_PRODUCTS,F_RENEWAL_TYPE
800Pj00000ivGekIAE,Loffler Companies Inc,Strategic,2026-08-01,62550.0,31.4,MEDIUM,F_CONTRACT_MARGIN,F_RISK_COLOR,F_TOTAL_INVOICED_L180
8004v000002TM8CAAW,"Velocity Network, Inc.",Strategic,2026-09-01,61650.0,59.1,HIGH,F_NUM_RENEWABLE_PRODUCTS,F_LOG_ATR,F_CONTRACT_MARGIN
800Pj00000mrTwOIAU,"Sedona, Inc.",Strategic,2026-09-01,61213.0,68.8,HIGH,F_NUM_RENEWABLE_PRODUCTS,F_LOG_ATR,F_CONTRACT_MARGIN
800Pj00000Vc0EtIAJ,"Eze Castle Integration, Inc.",Strategic,2026-08-01,60617.0,66.3,HIGH,F_RISK_COLOR,F_CONTRACT_MARGIN,F_PRIOR_RENEWAL_COUNT
800Pj00000ivPWkIAM,Kocho Group Ltd,Strategic,2026-08-01,55025.0,45.1,MEDIUM,F_CONTRACT_MARGIN,F_OPEN_INVOICE_BAL_L180,F_RISK_COLOR
800Pj00000ViKxpIAF,Solutions Plus Inc dba Vector Tech Group,Strategic,2026-07-01,53665.0,47.4,HIGH,F_CONTRACT_MARGIN,F_RENEWAL_TYPE,F_BILLING_FREQUENCY
800Pj00000kqyVWIAY,Alternative Network Solutions,Strategic,2026-09-01,52913.0,49.2,HIGH,F_LOG_ATR,F_RISK_COLOR,F_RENEWAL_TYPE
800Pj00000l3I5TIAU,Absolute IT Solutions,Core,2026-09-01,51756.0,65.3,HIGH,F_LOG_ATR,F_BILLING_FREQUENCY,F_RENEWAL_TYPE
800Pj00000JbNihIAF,"Blue Valley Technologies, Inc. operating as Networks Plus",Strategic,2026-07-01,50522.0,51.4,HIGH,F_CONTRACT_MARGIN,F_LOG_ATR,F_RENEWAL_TYPE
800Pj00000gAP3RIAW,"Boston HelpDesk, Inc.",Core,2026-07-01,48359.0,40.2,HIGH,F_CONTRACT_MARGIN,F_LOG_ATR,F_BILLING_FREQUENCY
800Pj00000hxmJKIAY,Proven Business Systems,Strategic,2026-08-01,47924.0,45.1,MEDIUM,F_CONTRACT_MARGIN,F_CREDIT_MEMO_AMT_L180,F_ZUORA_ACCOUNT_BALANCE
800Pj00000kwMaOIAU,"Kraft & Kennedy, Inc.",Strategic,2026-09-01,46673.0,42.1,MEDIUM,F_CONTRACT_MARGIN,F_ZUORA_ACCOUNT_BALANCE,F_RISK_COLOR
800Pj00000kwSPhIAM,"Central Technologies, Inc.",Core,2026-09-01,44905.0,42.2,HIGH,F_LOG_ATR,F_BILLING_FREQUENCY,F_TOTAL_PAYMENTS_L180
800Pj00000geJtNIAU,Jungle It Ltd,Core,2026-07-01,44406.0,82.3,HIGH,F_CONTRACT_MARGIN,F_LOG_ATR,F_RENEWAL_TYPE
8004v000002JFDeAAO,Kenn-Feld Group,Core,2026-09-01,42873.0,57.9,HIGH,F_RISK_COLOR,F_BILLING_FREQUENCY,F_CONTRACT_ACV
800Pj00000l3Q7mIAE,BIZITSS,Strategic,2026-09-01,42605.0,49.2,HIGH,F_LOG_ATR,F_NUM_RENEWABLE_PRODUCTS,F_CONTRACT_MARGIN
800Pj00000i7Z6CIAU,Spectrum Technologies,Strategic,2026-09-01,42233.0,47.4,MEDIUM,F_LOG_ATR,F_NUM_RENEWABLE_PRODUCTS,F_RENEWAL_TYPE
800Pj00000kZr2EIAS,Anders Minkler Huber & Helm LLP,Strategic,2026-08-01,42209.0,45.1,MEDIUM,F_CONTRACT_MARGIN,F_RENEWAL_TYPE,F_RISK_COLOR
800Pj00000kwpUHIAY,MediaNews Group Inc.,Strategic,2026-09-01,42206.0,16.6,LOW,F_RISK_COLOR,F_LOG_ATR,
800Pj000010UR2KIAW,Servatech,Strategic,2026-09-01,41665.0,59.1,HIGH,F_CONTRACT_ACV,F_NUM_RENEWABLE_PRODUCTS,F_TOTAL_INVOICED_L180
800Pj00000ivPWmIAM,GFI Digital,Strategic,2026-08-01,41309.0,31.4,MEDIUM,F_CONTRACT_MARGIN,F_RISK_COLOR,
8004v000002yjKQAAY,Digital323,Core,2026-07-01,41076.0,55.5,HIGH,F_CONTRACT_MARGIN,F_LOG_ATR,F_BILLING_FREQUENCY
800Pj00000jNK4GIAW,Ekaru,Core,2026-08-01,40606.0,55.5,HIGH,F_LOG_ATR,F_BILLING_FREQUENCY,F_RENEWAL_TYPE
